0,GeForce RTX 3090  (GA102)
32,GeForce RTX 2080 Ti Rev. A  (TU102)
57,GeForce RTX 3090
72,GeForce RTX 3080  (GA102)
94,TITAN RTX  (TU102)
104,GeForce RTX 3080 10GB / 20GB  (GA102)
105,RTX 3080 10GB GAMING X TRIO  (GA102)
189,GeForce RTX 2080 Ti
191,TITAN V  (GV100)
202,RTX 2080 Ti GAMING X TRIO  (TU102)
491,GeForce GTX 1080 Ti  (GP102)
538,GeForce RTX 3070  (GA104)
568,GeForce RTX 3070 8GB / 16GB  (GA104)
665,Quadro RTX 8000  (TU102GL)
690,82854 GMCH Integrated Graphics Device  (GA104)
746,Quadro RTX 6000  (TU102GL)
762,GeForce RTX 2080 SUPER  (TU104)
774,GeForce RTX 2080 SUPER
778,GeForce RTX 2080 Rev. A  (TU104)
826,GeForce RTX 2080
828,GeForce RTX 2080  (TU104)
836,GeForce RTX 2070 SUPER  (TU104)
854,TITAN X  (GP102)
890,GeForce RTX 2080 Mobile  (TU104BM)
915,TITAN Xp  (GP102)
918,GeForce RTX 2070 SUPER
925,TITAN Xp COLLECTORS EDITION  (GP102)
967,Radeon VII  (Vega 20)
1268,GeForce RTX 2070 Rev. A  (TU106)
1533,HD Graphics 4600
1578,HD Graphics 4000
1639,GeForce RTX 2070
1830,Radeon RX 5700 XT  (Navi 10)
1941,GeForce RTX 2060 SUPER  (TU106)
1947,GeForce RTX 2070  (TU106)
2008,Radeon RX 5700 / 5700 XT  (Navi 10)
2031,GeForce RTX 2060 SUPER
2174,Radeon RX 5600 OEM/5600 XT / 5700/5700 XT  (Navi 10)
2232,Radeon RX 5700 XT Gaming OC  (Navi 10)
2238,TURBO RTX 2070
2244,RX Vega64  (Vega 10 XL/XT)
2270,GeForce RTX 2060 Rev. A  (TU106)
2279,Radeon RX Vega  (Vega 10 XL/XT)
2282,GeForce GTX 1070 Ti  (GP104)
2323,GeForce RTX 2080 Mobile  (TU104M)
2345,Radeon RX 5600 XT  (Navi 10)
2377,Radeon Vega Frontier Edition  (Vega 10 XTX)
2389,Quadro P6000  (GP102GL)
2396,GeForce GTX 1080  (GP104)
2403,GeForce RTX 2060  (TU104)
2485,GeForce RTX 2070 Mobile
2488,GeForce RTX 2070 Mobile  (TU106M)
2509,GeForce GTX 1080 Mobile  (GP104BM)
2517,Quadro RTX 5000 Mobile / Max-Q  (TU104GLM)
2521,Radeon RX VEGA 56 GAMING OC 8G  (Vega 10 XL/XT)
2540,GeForce GTX 980 Ti  (GM200)
2620,GeForce GTX TITAN X  (GM200)
2662,Radeon RX Vega  (Vega)
2683,GeForce GTX 1070  (GP104)
2732,GeForce RTX 2060 Mobile  (TU106M)
2792,GeForce GTX 1080 Mobile  (GP104M)
2827,GeForce GTX 1070 Ti
2835,GeForce GTX 1660 Ti
2898,GeForce GTX 1070  (GP104M)
2910,GeForce GTX 1070 Mobile  (GP104BM)
2937,Radeon R9 FURY
2944,GeForce GTX 1070  (GP104BM)
2947,Radeon R9 FURY X / NANO
2951,82852/855GM Integrated Graphics Device  (TU116)
2967,GeForce GTX 1660 SUPER  (TU116)
2969,GeForce RTX 2060  (TU106M)
2990,Quadro P5000  (GP104GL)
2995,Radeon R9 FURY / NANO Series
3011,GeForce GTX 1660 Ti Mobile  (TU116M)
3025,GeForce GTX 1660 SUPER
3035,GeForce GTX 980  (GM204)
3039,Nitro+ Radeon RX 570/580/590  (Ellesmere)
3041,Nitro+ Radeon RX 570/580  (Ellesmere)
3043,Radeon RX 470/480/570/570X/580/580X/590  (Ellesmere)
3048,GeForce GTX 1070 Mobile  (GP104M)
3049,Radeon RX 470/480  (Ellesmere)
3054,GeForce GTX 1060 6GB  (GP106)
3057,Radeon RX 580  (Ellesmere)
3059,Radeon R9 290/390  (Hawaii PRO)
3061,Radeon RX 580 Armor 4G OC  (Ellesmere)
3071,Nitro+ Radeon RX 580 4GB  (Ellesmere)
3081,Double Dissipation R9 290X  (Hawaii XT / Grenada XT)
3084,GeForce GTX Titan SC  (GK110)
3090,GeForce GTX 970  (GM204)
3091,Radeon RX 470  (Ellesmere)
3095,GeForce GTX 1060 Mobile  (GP104)
3100,GeForce GTX 780  (GK110)
3101,GeForce GTX TITAN Z  (GK110B)
3106,GeForce GTX 1060 3GB  (GP106)
3109,Radeon RX 480  (Ellesmere)
3127,GeForce GTX 1060  (GP106M)
3135,Radeon RX 480 Gaming X 8GB  (Ellesmere)
3136,GeForce GTX 1060 Mobile  (GP106M)
3146,GeForce GTX 1060 Mobile  (GP106BM)
3148,GeForce GTX 980M  (GM204M)
3149,GeForce GTX Titan  (GK110)
3150,Radeon R9 380 Nitro 4G D5  (Tonga PRO)
3151,GeForce GTX 1050 Ti  (GP107)
3152,GeForce GTX 960  (GM206)
3162,GeForce GTX 965M  (GM204M)
3163,GeForce GTX 760  (GK104)
3164,GeForce GTX 670  (GK104)
3166,GeForce GTX 1050  (GP107)
3167,GeForce GTX 880M  (GK104M)
3171,GeForce GTX 560  (GF114)
3172,Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile  (Jet PRO)
3186,Radeon R7 370 / R9 270X/370X  (Curacao XT / Trinidad XT)
